title,link
聖母子與聖安妮,https://www.wikiart.org/zh/lie-ao-na-duo-da-fen-qi/sheng-mu-zi-yu-sheng-an-ni-1510
Infinity Mirror Room,https://www.wikiart.org/zh/cao-jian-mi-sheng/infinity-mirror-room-1965
L.A. CAT 1995,https://www.wikiart.org/zh/romero-britto/l-a-cat-1995-1995
The Light of the World,https://www.wikiart.org/zh/wei-lian-huo-er-man-heng-te/the-light-of-the-world
Music,https://www.wikiart.org/zh/heng-li-ma-di-si/music-1910
Children,https://www.wikiart.org/zh/ba-er-di-si/children-1937
The street,https://www.wikiart.org/zh/ba-er-di-si/the-street-1933
Creation,https://www.wikiart.org/zh/die-ge-li-wei-la/creation-1923
Yellow-Red-Blue,https://www.wikiart.org/zh/wa-xi-li-kang-ding-si-ji/yellow-red-blue-1925
The Enigma,https://www.wikiart.org/zh/gu-si-ta-fu-duo-lei/the-enigma-1871
Young Hare,https://www.wikiart.org/zh/a-er-bu-lei-xi-te-diu-le/a-young-hare
大衛像,https://www.wikiart.org/zh/mi-kai-lang-ji-luo/da-wei-xiang-1504
黄色的基督,https://www.wikiart.org/zh/bao-luo-gao-geng/huang-se-de-ji-du-1889
康寶湯罐頭,https://www.wikiart.org/zh/an-di-wo-he/jin-bao-tang-guan-tou-1962
Branches with Almond Blossom,https://www.wikiart.org/zh/wen-sen-te-fan-gao/branches-with-almond-blossom-1890
The Arsenal,https://www.wikiart.org/zh/die-ge-li-wei-la/the-arsenal-1928
Cycle,https://www.wikiart.org/zh/mo-li-zi-ke-ni-li-si-ai-xue/cycle
Color Study: Squares with Concentric Circles,https://www.wikiart.org/zh/wa-xi-li-kang-ding-si-ji/color-study-squares-with-concentric-circles-1913
Revelation (The watch),https://www.wikiart.org/zh/remedios-varo/revelation-the-watch-1955
Waterfall,https://www.wikiart.org/zh/mo-li-zi-ke-ni-li-si-ai-xue/waterfall
Dead Leaves,https://www.wikiart.org/zh/remedios-varo/dead-leaves-1956
The Embrace,https://www.wikiart.org/zh/ai-gong-xi-le/the-embrace-1917
Composition X,https://www.wikiart.org/zh/wa-xi-li-kang-ding-si-ji/composition-x-1939
鞦韆,https://www.wikiart.org/zh/rang-ao-nuo-lei-fu-la-ge-na-er/wen-yi-wen-ku-1767
A Few Small Nips (Passionately in Love),https://www.wikiart.org/zh/fu-lie-da-qia-luo/a-few-small-nips-passionately-in-love-1935
Hotel Lobby,https://www.wikiart.org/zh/ai-de-hua-huo-pu/hotel-lobby
Dream of a Sunday Afternoon in Alameda Park,https://www.wikiart.org/zh/die-ge-li-wei-la/dream-of-a-sunday-afternoon-in-alameda-park-1948
Wheatfield with Crows,https://www.wikiart.org/zh/wen-sen-te-fan-gao/wheatfield-with-crows-1890
維納斯的誕生,https://www.wikiart.org/zh/sang-de-luo-bo-ti-qie-li/wei-na-si-de-dan-sheng-1485
View of Toledo,https://www.wikiart.org/zh/ge-lei-kao/view-of-toledo
佈道後的視覺,https://www.wikiart.org/zh/bao-luo-gao-geng/bu-dao-hou-de-shi-jue-1888
Symmetry Drawing,https://www.wikiart.org/zh/mo-li-zi-ke-ni-li-si-ai-xue/symmetry-drawing
Mushrooms,https://www.wikiart.org/zh/cao-jian-mi-sheng/mushrooms-1995
女神遊樂廳的吧檯,https://www.wikiart.org/zh/ai-de-hua-ma-nai/nu-shen-you-le-ting-de-ba-tai-1882
通天塔,https://www.wikiart.org/zh/lao-bi-de-bo-lu-gai-er/tong-tian-ta-1563
Flora,https://www.wikiart.org/zh/lun-bo-lang/flora-1634
The Desperate Man (Self-Portrait),https://www.wikiart.org/zh/ju-si-ta-fu-ku-er-bei/the-desperate-man-self-portrait-1845
Water Lilies,https://www.wikiart.org/zh/ke-lao-de-mo-nai/water-lilies-1919-1
